Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|               ns/op |                op/s |    err% |     total | benchmark
|--------------------:|--------------------:|--------:|----------:|:----------
|              443.33 |        2,255,638.18 |    0.1% |      0.12 | `float constexpr fit`
|            1,037.15 |          964,179.28 |    0.2% |      0.12 | `float coefficient-count fit`
|            2,619.04 |          381,818.96 |    0.1% |      0.12 | `float eps fit`
|                2.04 |      491,255,775.41 |    0.4% |      0.12 | `float eval`
|                0.25 |    3,971,552,434.82 |    0.0% |      0.12 | `float eval_many`
|              480.03 |        2,083,184.40 |    0.1% |      0.12 | `double constexpr fit`
|            1,192.52 |          838,560.06 |    0.3% |      0.12 | `double coefficient-count fit`
|            2,803.87 |          356,650.35 |    0.1% |      0.12 | `double eps fit`
|                1.96 |      510,248,935.81 |    0.7% |      0.12 | `double eval`
|                0.50 |    1,983,089,891.01 |    0.1% |      0.12 | `double eval_many`
|              567.95 |        1,760,730.93 |    0.3% |      0.12 | `complex<double> constexpr fit`
|            1,344.79 |          743,610.94 |    0.1% |      0.12 | `complex<double> coefficient-count fit`
|            2,920.24 |          342,437.50 |    0.0% |      0.12 | `complex<double> eps fit`
|                2.49 |      401,598,586.93 |    0.1% |      0.12 | `complex<double> eval`
|                1.34 |      749,020,277.65 |    0.0% |      0.12 | `complex<double> eval_many`
|              642.56 |        1,556,283.88 |    0.0% |      0.12 | `complex<float> constexpr fit`
|            1,411.30 |          708,568.91 |    0.1% |      0.12 | `complex<float> coefficient-count fit`
|            9,268.46 |          107,892.82 |    0.1% |      0.12 | `complex<float> eps fit`
|                3.42 |      292,287,427.28 |    0.2% |      0.12 | `complex<float> eval`
|                0.69 |    1,459,276,740.84 |    0.0% |      0.12 | `complex<float> eval_many`
