Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|             ns/eval |              eval/s |    err% |     total | poly_eval grouped-function throughput
|--------------------:|--------------------:|--------:|----------:|:--------------------------------------
|                7.52 |      132,913,602.12 |    0.2% |      0.24 | `1 funcs`
|                5.21 |      191,818,836.24 |    0.4% |      0.24 | `1 funcs (non-many)`
|                8.45 |      118,296,214.61 |    0.0% |      0.24 | `2 funcs`
|                9.85 |      101,539,573.64 |    0.3% |      0.24 | `2 funcs (non-many)`
|                8.54 |      117,039,724.93 |    0.2% |      0.24 | `3 funcs`
|               16.56 |       60,393,043.59 |    0.2% |      0.24 | `3 funcs (non-many)`
|                8.50 |      117,626,029.22 |    0.1% |      0.24 | `4 funcs`
|               17.80 |       56,190,431.59 |    0.1% |      0.24 | `4 funcs (non-many)`
|               11.07 |       90,372,606.11 |    0.3% |      0.24 | `5 funcs`
|               22.69 |       44,081,649.09 |    0.4% |      0.24 | `5 funcs (non-many)`
|               11.12 |       89,929,801.94 |    0.2% |      0.24 | `6 funcs`
|               30.57 |       32,715,586.44 |    0.1% |      0.24 | `6 funcs (non-many)`
|               12.42 |       80,502,278.91 |    0.2% |      0.24 | `7 funcs`
|               32.67 |       30,612,593.96 |    0.1% |      0.24 | `7 funcs (non-many)`
|               11.72 |       85,331,657.83 |    0.2% |      0.24 | `8 funcs`
|               35.04 |       28,539,742.63 |    0.3% |      0.24 | `8 funcs (non-many)`
|               15.29 |       65,415,583.35 |    0.2% |      0.23 | `9 funcs`
|               46.19 |       21,648,964.24 |    0.2% |      0.24 | `9 funcs (non-many)`
|               15.32 |       65,273,148.76 |    0.1% |      0.23 | `10 funcs`
|               45.80 |       21,836,182.86 |    0.1% |      0.24 | `10 funcs (non-many)`
|               16.37 |       61,073,731.02 |    0.0% |      0.24 | `11 funcs`
|               57.85 |       17,285,899.11 |    0.1% |      0.24 | `11 funcs (non-many)`
|               15.65 |       63,915,211.07 |    0.1% |      0.23 | `12 funcs`
|               57.30 |       17,452,310.70 |    0.2% |      0.24 | `12 funcs (non-many)`
|               17.61 |       56,781,432.54 |    0.1% |      0.24 | `13 funcs`
|               60.55 |       16,515,166.65 |    0.3% |      0.24 | `13 funcs (non-many)`
|               17.67 |       56,601,210.50 |    0.1% |      0.24 | `14 funcs`
|               66.77 |       14,977,663.68 |    0.1% |      0.24 | `14 funcs (non-many)`
|               19.10 |       52,362,592.99 |    0.1% |      0.24 | `15 funcs`
|               74.19 |       13,479,604.88 |    0.2% |      0.24 | `15 funcs (non-many)`
|               17.25 |       57,987,742.51 |    0.1% |      0.24 | `16 funcs`
|               76.38 |       13,093,218.74 |    0.1% |      0.24 | `16 funcs (non-many)`
|               11.97 |       83,549,846.25 |    0.1% |      0.24 | `8 funcs (mixed domains)`
|               35.16 |       28,439,165.30 |    0.2% |      0.24 | `8 funcs (mixed domains, non-many)`
|               17.21 |       58,115,009.62 |    0.3% |      0.24 | `16 funcs (mixed domains)`
|               76.71 |       13,035,582.79 |    0.3% |      0.24 | `16 funcs (mixed domains, non-many)`
|               38.48 |       25,990,809.98 |    0.0% |      0.24 | `8 funcs (complex outputs, bulk)`
