Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|            ns/build |             build/s |    err% |     total | fitting time
|--------------------:|--------------------:|--------:|----------:|:-------------
|           60,713.23 |           16,470.87 |    0.1% |      0.12 | `F:ℝ²→ℝ², D=16 build`
|           88,811.08 |           11,259.86 |    0.1% |      0.12 | `F:ℝ²→ℝ³, D=16 build`
|          239,969.09 |            4,167.20 |    0.1% |      0.12 | `F:ℝ³→ℝ³, D=8 build`
|          317,952.06 |            3,145.13 |    0.1% |      0.12 | `F:ℝ³→ℝ⁴, D=8 build`
|        1,520,596.00 |              657.64 |    0.0% |      0.13 | `F:ℝ³→ℝ², D=16 build`
|        2,538,369.25 |              393.95 |    0.1% |      0.12 | `F:ℝ⁴→ℝ³, D=8 build`
|        3,338,894.00 |              299.50 |    0.0% |      0.11 | `F:ℝ⁴→ℝ⁴, D=8 build`

|             ns/eval |              eval/s |    err% |     total | throughput (single x)
|--------------------:|--------------------:|--------:|----------:|:----------------------
|               86.80 |       11,520,458.09 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16`
|              131.23 |        7,620,139.17 |    0.1% |      0.24 | `F:ℝ²→ℝ³, D=16`
|              272.79 |        3,665,829.87 |    0.1% |      0.24 | `F:ℝ³→ℝ³, D=8`
|              513.98 |        1,945,612.43 |    0.0% |      0.24 | `F:ℝ³→ℝ⁴, D=8`
|            2,191.49 |          456,309.58 |    0.0% |      0.24 | `F:ℝ³→ℝ², D=16`
|            3,498.97 |          285,798.43 |    0.1% |      0.24 | `F:ℝ⁴→ℝ³, D=8`
|            4,764.17 |          209,900.12 |    0.1% |      0.24 | `F:ℝ⁴→ℝ⁴, D=8`
|               86.84 |       11,514,827.40 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 generic point`
|               86.88 |       11,509,922.67 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 canonical point`
|               88.35 |       11,318,636.23 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 array`
|               86.97 |       11,497,747.06 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 variadic`
|           89,660.15 |           11,153.23 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 manual loop`
|           36,418.80 |           27,458.34 |    0.0% |      0.24 | `F:ℝ²→ℝ², D=16 canonical batch`
|           88,830.04 |           11,257.45 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 generic loop`
|           89,652.65 |           11,154.16 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 container batch`
