Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|             ns/eval |              eval/s |    err% |     total | poly_eval grouped-function throughput
|--------------------:|--------------------:|--------:|----------:|:--------------------------------------
|                5.25 |      190,606,100.86 |    0.3% |      0.24 | `1 funcs`
|                5.11 |      195,829,002.68 |    0.2% |      0.24 | `1 funcs (non-many)`
|                5.27 |      189,715,749.62 |    0.7% |      0.24 | `2 funcs`
|               10.06 |       99,367,365.69 |    0.1% |      0.24 | `2 funcs (non-many)`
|                5.07 |      197,146,548.12 |    0.1% |      0.24 | `3 funcs`
|               13.87 |       72,082,992.10 |    0.3% |      0.23 | `3 funcs (non-many)`
|                5.25 |      190,526,448.56 |    0.3% |      0.24 | `4 funcs`
|               19.41 |       51,508,224.24 |    0.2% |      0.24 | `4 funcs (non-many)`
|                8.20 |      121,973,635.18 |    0.8% |      0.24 | `5 funcs`
|               23.78 |       42,057,013.53 |    0.1% |      0.24 | `5 funcs (non-many)`
|                8.43 |      118,557,712.11 |    0.3% |      0.24 | `6 funcs`
|               28.43 |       35,170,444.34 |    0.2% |      0.24 | `6 funcs (non-many)`
|                8.06 |      124,110,309.07 |    0.6% |      0.24 | `7 funcs`
|               32.74 |       30,541,587.52 |    0.3% |      0.24 | `7 funcs (non-many)`
|                8.02 |      124,745,601.83 |    0.7% |      0.24 | `8 funcs`
|               35.70 |       28,010,722.11 |    0.1% |      0.24 | `8 funcs (non-many)`
|               12.70 |       78,738,758.53 |    1.3% |      0.23 | `9 funcs`
|               40.54 |       24,669,914.05 |    0.2% |      0.24 | `9 funcs (non-many)`
|               13.48 |       74,184,733.00 |    0.1% |      0.23 | `10 funcs`
|               44.28 |       22,585,082.31 |    0.2% |      0.24 | `10 funcs (non-many)`
|               11.98 |       83,440,104.88 |    0.7% |      0.24 | `11 funcs`
|               50.43 |       19,829,257.31 |    0.1% |      0.24 | `11 funcs (non-many)`
|               12.81 |       78,053,718.00 |    2.0% |      0.24 | `12 funcs`
|               54.70 |       18,280,711.18 |    0.2% |      0.24 | `12 funcs (non-many)`
|               14.24 |       70,233,748.94 |    0.8% |      0.23 | `13 funcs`
|               58.95 |       16,963,997.09 |    0.2% |      0.24 | `13 funcs (non-many)`
|               14.64 |       68,296,704.71 |    0.3% |      0.23 | `14 funcs`
|               62.88 |       15,903,876.63 |    0.1% |      0.24 | `14 funcs (non-many)`
|               14.71 |       67,996,322.77 |    0.3% |      0.23 | `15 funcs`
|               65.66 |       15,231,125.11 |    0.4% |      0.24 | `15 funcs (non-many)`
|               14.72 |       67,946,717.56 |    0.5% |      0.23 | `16 funcs`
|               69.89 |       14,309,098.70 |    0.1% |      0.24 | `16 funcs (non-many)`
|                8.37 |      119,494,885.81 |    0.3% |      0.24 | `8 funcs (mixed domains)`
|               35.72 |       27,998,365.39 |    0.5% |      0.24 | `8 funcs (mixed domains, non-many)`
|               14.74 |       67,844,454.37 |    0.6% |      0.23 | `16 funcs (mixed domains)`
|               69.77 |       14,333,798.57 |    0.2% |      0.24 | `16 funcs (mixed domains, non-many)`
|               25.78 |       38,795,339.17 |    0.1% |      0.24 | `8 funcs (complex outputs, bulk)`
