Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|            ns/build |             build/s |    err% |     total | fitting time
|--------------------:|--------------------:|--------:|----------:|:-------------
|           81,874.60 |           12,213.80 |    0.1% |      0.12 | `F:ℝ²→ℝ², D=16 build`
|          107,042.67 |            9,342.07 |    0.1% |      0.12 | `F:ℝ²→ℝ³, D=16 build`
|          391,787.65 |            2,552.40 |    0.0% |      0.12 | `F:ℝ³→ℝ³, D=8 build`
|          527,535.33 |            1,895.61 |    0.1% |      0.12 | `F:ℝ³→ℝ⁴, D=8 build`

|             ns/eval |              eval/s |    err% |     total | throughput (single x)
|--------------------:|--------------------:|--------:|----------:|:----------------------
|               83.53 |       11,971,709.98 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16`
|              178.56 |        5,600,460.94 |    0.1% |      0.24 | `F:ℝ²→ℝ³, D=16`
|              364.63 |        2,742,515.73 |    0.1% |      0.24 | `F:ℝ³→ℝ³, D=8`
|              208.33 |        4,800,113.26 |    0.1% |      0.24 | `F:ℝ³→ℝ⁴, D=8`
|               85.39 |       11,710,632.53 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 generic point`
|               83.75 |       11,939,665.74 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 canonical point`
|               85.05 |       11,757,141.74 |    0.2% |      0.24 | `F:ℝ²→ℝ², D=16 array`
|               83.26 |       12,010,305.24 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 variadic`
|           87,821.41 |           11,386.74 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 manual loop`
|           35,985.30 |           27,789.13 |    0.0% |      0.24 | `F:ℝ²→ℝ², D=16 canonical batch`
|           35,991.76 |           27,784.14 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 span batch`
|           87,704.24 |           11,401.96 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 generic loop`
|           83,731.54 |           11,942.93 |    0.1% |      0.24 | `F:ℝ²→ℝ², D=16 container batch`
