Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 2,600.0 MHz
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf
Note: perf_event_open failed, so the ins/op, cyc/op, IPC, bra/op and miss% columns are missing.
This is usually a container or VM without virtualized performance counters, or
/proc/sys/kernel/perf_event_paranoid being too restrictive.


|             ns/eval |              eval/s |    err% |     total | poly_eval grouped-function throughput
|--------------------:|--------------------:|--------:|----------:|:--------------------------------------
|                3.90 |      256,677,866.38 |    0.6% |      0.24 | `1 funcs`
|                3.08 |      324,693,515.99 |    2.5% |      0.24 | `1 funcs (non-many)`
|                3.88 |      257,586,076.26 |    0.5% |      0.24 | `2 funcs`
|                6.01 |      166,369,891.81 |    2.4% |      0.25 | `2 funcs (non-many)`
|                3.90 |      256,129,667.89 |    0.4% |      0.24 | `3 funcs`
|                8.75 |      114,285,776.44 |    1.3% |      0.24 | `3 funcs (non-many)`
|                3.91 |      255,693,376.91 |    0.6% |      0.24 | `4 funcs`
|               10.67 |       93,759,172.37 |    1.3% |      0.24 | `4 funcs (non-many)`
|                6.24 |      160,354,450.87 |    0.6% |      0.25 | `5 funcs`
|               15.06 |       66,379,751.11 |    3.5% |      0.23 | `5 funcs (non-many)`
|                6.23 |      160,452,855.72 |    0.2% |      0.24 | `6 funcs`
|               18.54 |       53,943,787.05 |    0.8% |      0.24 | `6 funcs (non-many)`
|                6.02 |      166,066,419.73 |    0.1% |      0.24 | `7 funcs`
|               19.88 |       50,306,473.41 |    0.9% |      0.24 | `7 funcs (non-many)`
|                5.77 |      173,335,129.39 |    0.6% |      0.24 | `8 funcs`
|               22.98 |       43,507,157.89 |    0.6% |      0.24 | `8 funcs (non-many)`
|                8.22 |      121,661,045.76 |    0.9% |      0.23 | `9 funcs`
|               25.43 |       39,323,024.63 |    1.3% |      0.25 | `9 funcs (non-many)`
|                8.85 |      113,043,025.95 |    0.3% |      0.24 | `10 funcs`
|               25.46 |       39,283,655.44 |    0.3% |      0.24 | `10 funcs (non-many)`
|                7.72 |      129,482,969.51 |    0.0% |      0.24 | `11 funcs`
|               27.65 |       36,164,656.46 |    0.1% |      0.24 | `11 funcs (non-many)`
|                7.62 |      131,183,113.00 |    0.1% |      0.24 | `12 funcs`
|               30.08 |       33,239,291.23 |    0.1% |      0.24 | `12 funcs (non-many)`
|               15.86 |       63,040,498.43 |    0.1% |      0.23 | `13 funcs`
|               32.56 |       30,708,696.34 |    0.2% |      0.24 | `13 funcs (non-many)`
|                9.98 |      100,183,233.63 |    0.1% |      0.24 | `14 funcs`
|               34.96 |       28,605,128.16 |    0.1% |      0.24 | `14 funcs (non-many)`
|               18.26 |       54,758,956.93 |    0.0% |      0.24 | `15 funcs`
|               37.57 |       26,620,075.47 |    0.5% |      0.25 | `15 funcs (non-many)`
|                9.75 |      102,548,626.19 |    0.1% |      0.24 | `16 funcs`
|               40.29 |       24,822,515.96 |    0.5% |      0.24 | `16 funcs (non-many)`
|                5.44 |      183,886,366.52 |    0.1% |      0.24 | `8 funcs (mixed domains)`
|               20.64 |       48,452,772.20 |    0.1% |      0.25 | `8 funcs (mixed domains, non-many)`
|               10.00 |       99,962,887.86 |    0.1% |      0.24 | `16 funcs (mixed domains)`
|               40.35 |       24,783,413.46 |    0.3% |      0.24 | `16 funcs (mixed domains, non-many)`
|               20.15 |       49,622,300.86 |    0.1% |      0.24 | `8 funcs (complex outputs, bulk)`
