benchmark,gcc-14,gcc-15,llvm-20,llvm-21
bench1D_cxx17::float constexpr fit,466.0300,457.9300,732.5500,772.3100
bench1D_cxx17::float coefficient-count fit,1016.6600,952.2900,941.2200,928.5400
bench1D_cxx17::float eps fit,2355.2100,2284.8800,2260.9200,2397.7100
bench1D_cxx17::float eval,1.7500,1.7300,2.0700,1.8300
bench1D_cxx17::float eval_many,0.2500,0.2600,0.1700,0.1700
bench1D_cxx17::double constexpr fit,504.3600,501.0900,750.4100,795.5500
bench1D_cxx17::double coefficient-count fit,1193.6500,1091.0900,1034.3200,1050.8800
bench1D_cxx17::double eps fit,2457.4500,2415.7900,2247.3300,2395.4400
bench1D_cxx17::double eval,2.0300,2.0400,2.0200,1.7900
bench1D_cxx17::double eval_many,0.5100,0.5200,0.3500,0.3300
bench1D_cxx17::complex<double> constexpr fit,581.6100,586.8300,634.2000,671.2000
bench1D_cxx17::complex<double> coefficient-count fit,1388.9700,1390.5600,1463.6400,1535.2200
bench1D_cxx17::complex<double> eps fit,2669.5700,2706.6300,2553.2000,2712.3700
bench1D_cxx17::complex<double> eval,2.1800,2.4000,2.0800,1.8600
bench1D_cxx17::complex<double> eval_many,1.3500,1.3400,1.4000,1.3200
bench1D_cxx17::complex<float> constexpr fit,622.1200,584.3900,852.1200,922.2100
bench1D_cxx17::complex<float> coefficient-count fit,1311.6700,1269.7500,1572.9800,1643.9600
bench1D_cxx17::complex<float> eps fit,2660.6800,2635.4800,2644.4200,2754.2000
bench1D_cxx17::complex<float> eval,3.9000,3.8800,3.4300,3.5100
bench1D_cxx17::complex<float> eval_many,0.6800,0.6800,0.6600,0.6700
bench1D_cxx20::float constexpr fit,442.3500,436.0500,733.9800,774.0300
bench1D_cxx20::float coefficient-count fit,1027.6100,1008.0200,944.7900,923.8400
bench1D_cxx20::float eps fit,2343.7100,2349.2700,2253.4000,2368.6700
bench1D_cxx20::float eval,1.6900,2.0300,2.1100,1.7600
bench1D_cxx20::float eval_many,0.2500,0.2600,0.1700,0.1700
bench1D_cxx20::double constexpr fit,481.1900,476.0800,750.1400,800.8800
bench1D_cxx20::double coefficient-count fit,1193.5000,1174.3300,1028.5500,1041.8700
bench1D_cxx20::double eps fit,2525.0200,2515.3800,2255.0400,2385.1600
bench1D_cxx20::double eval,1.7400,1.7300,2.0900,1.8700
bench1D_cxx20::double eval_many,0.5100,0.5000,0.3800,0.3400
bench1D_cxx20::complex<double> constexpr fit,560.8500,581.6100,639.3000,671.1000
